"","person_id","transcript"
"93",68219,"as she spoke. (The unfortunate little Bill had left off writing on his
"
"94",68458,"‘Which is just the case with MINE,’ said the Hatter.
"
"95",96266,"
"
"96",78795,"came upon a neat little house, on the door of which was a bright brass
"
"97",35311,"    Why, I do it again and again.’
"
"98",52297,"         YOU.--Come,
"
"99",60886,"then, when you’ve cleared all the jelly-fish out of the way--’
"
"100",41914,"it trot away quietly into the wood. ‘If it had grown up,’ she said
"
"101",22369,"thinking of?’
"
"102",25814,"‘To begin with,’ said the Cat, ‘a dog’s not mad. You grant that?’
"
"103",95491,"‘you shouldn’t have put it in with the bread-knife.’
"
"104",36563,"‘You are not attending!’ said the Mouse to Alice severely. ‘What are you
"
"105",89343,"them, they set to work very diligently to write out a history of the
"
"106",14532,"
"
"107",67045,"
"
"108",97245,"sea, some children digging in the sand with wooden spades, then a row
"
"109",83673,"‘Yes, it IS his business!’ said Five, ‘and I’ll tell him--it was for
"
"110",55804,"leading right into it. ‘That’s very curious!’ she thought. ‘But
"
"111",84819,"Alas! it was too late to wish that! She went on growing, and growing,
"
"112",39426,"
"
"113",54867,"‘Digging for apples, indeed!’ said the Rabbit angrily. ‘Here! Come and
"
"114",29338,"that--only the March Hare said--’
"
"115",60974,"‘They couldn’t have done that, you know,’ Alice gently remarked; ‘they’d
"
"116",36829,"a little pattering of footsteps in the distance, and she looked up
"
"117",93699,"
"
"118",38006,"   A secret, kept from all the rest,
"
"119",49286,"then a voice she had never heard before, ‘Sure then I’m here! Digging
"
"120",68586,"
"
"121",42818,"
"
"122",12378,"
"
"123",65815,"It’s enough to drive one crazy!’
"
"124",22085,"
"
"125",68889,"of being all alone here!’
"
"126",92692,"In another moment down went Alice after it, never once considering how
"
"127",65661,"I THINK I can kick a little!’
"
"128",67825,"faces, so that they couldn’t see it?’ So she stood still where she was,
"
"129",57774,"the place of the March Hare. The Hatter was the only one who got any
"
"130",22894,"‘With extras?’ asked the Mock Turtle a little anxiously.
"
"131",58039,"remembered that she still held the pieces of mushroom in her hands, and
"
"132",26560,"croquet-ground.
"
"133",37295,"‘I’m a poor man, your Majesty,’ the Hatter began, in a trembling voice,
"
"134",24633,"and yawned once or twice, and shook itself. Then it got down off the
"
"135",57922,"‘I do,’ Alice hastily replied; ‘at least--at least I mean what I
"
"136",38822,"led into the garden. Then she went to work nibbling at the mushroom (she
"
"137",26042,"‘Then it ought to be Number One,’ said Alice.
"
"138",26673,"
"
"139",15361,"on.’
"
"140",12665,"uncomfortably sharp chin. However, she did not like to be rude, so she
"
"141",96985,"nearly out of sight, he said in a deep voice, ‘What are tarts made of?’
"
"142",60368,"
"
"143",64955,"This piece of rudeness was more than Alice could bear: she got up in
"
"144",56902,"know why it’s called a whiting?’
"
"145",54218,"as “I sleep when I breathe”!’
"
"146",43066,"
"
"147",16959,"
"
"148",41966,"
"
"149",55484,"Then they all crowded round her once more, while the Dodo solemnly
"
"150",95621,"of the cattle in the distance would take the place of the Mock Turtle’s
"
"151",80651,"
"
"152",41829,"
"
"153",67630,"fear they should forget them before the end of the trial.’
"
"154",44199,"
"
"155",11522,"
"
"156",20933,"
"
"157",59678,"‘I said pig,’ replied Alice; ‘and I wish you wouldn’t keep appearing and
"
"158",35613,"It’s enough to drive one crazy!’
"
"159",71673,"(IF you don’t know what a Gryphon is, look at the picture.) ‘Up, lazy
"
"160",87057,"
"
"161",50862,"‘Of course not,’ said the Mock Turtle: ‘why, if a fish came to ME, and
"
"162",69103,"
"
"163",11120,"down in a large arm-chair at one end of the table.
"
"164",94527,"blow with its head, it WOULD twist itself round and look up in her face,
"
"165",96937,"            cause,
"
"166",82144,"
"
"167",97186,"for any lesson-books!’
"
"168",76763,"
"
"169",18034,"
"
"170",12347,"‘Hadn’t time,’ said the Gryphon: ‘I went to the Classics master, though.
"
"171",78440,"‘The lobsters!’ shouted the Gryphon, with a bound into the air.
"
"172",57215,"Alice.
"
"173",48233,"Suddenly she came upon a little three-legged table, all made of solid
"
"174",18661,"led into the garden. Then she went to work nibbling at the mushroom (she
"
"175",78861,"ear and left foot, so as to prevent its undoing itself,) she carried
"
"176",35409,"it to make it stop.
"
"177",81641,"Forty-two. ALL PERSONS MORE THAN A MILE HIGH TO LEAVE THE COURT.’
"
"178",36560,"
"
"179",96710,"anxiously round to see if he would deny it too: but the Dormouse denied
"
"180",25872,"   ‘In my youth,’ said his father, ‘I took to the law,
"
"181",88966,"like them raw.’
"
"182",73801,"‘How queer it seems,’ Alice said to herself, ‘to be going messages for
"
"183",12007,"‘We had the best of educations--in fact, we went to school every day--’
"
"184",20826,"Then the Queen left off, quite out of breath, and said to Alice, ‘Have
"
"185",90133,"
"
"186",50045,"However, everything is queer to-day.’
"
"187",91755,"
"
"188",40307,"
"
"189",86677,"
"
"190",19333,"
"
"191",57096,"
"
"192",80663,"in a natural way.
"
"193",93892,"‘Certainly not!’ said Alice indignantly.
"
"194",66003,"
"
"195",43382,"time round, she came upon a low curtain she had not noticed before, and
"
"196",46344,"told me he was going a journey, I should say “With what porpoise?”’
"
"197",92946,"‘And that’s the jury-box,’ thought Alice, ‘and those twelve creatures,’
"
"198",56269,"cupboards and book-shelves; here and there she saw maps and pictures
"
"199",82480,"      mouse to the
"
"200",19360,"‘Exactly so,’ said the Hatter: ‘as the things get used up.’
"
"201",74485,"liked, so that it was not easy to know when the race was over. However,
"
"202",99486,"Alice thought the whole thing very absurd, but they all looked so grave
"
"203",84113,"make THEIR eyes bright and eager with many a strange tale, perhaps even
"
"204",66847,"Alice said nothing; she had sat down with her face in her hands,
"
"205",17537,"
"
"206",53053,"witness.’ And he added in an undertone to the Queen, ‘Really, my dear,
"
"207",69503,"
"
"208",33768,"The Duchess took her choice, and was gone in a moment.
"
"209",45879,"hastily.
"
"210",46568,"
"
"211",46132,"her life; it was all ridges and furrows; the balls were live hedgehogs,
"
"212",83927,"rather a handsome pig, I think.’ And she began thinking over other
"
"213",68038,"
"
"214",83519,"
"
"215",95601,"
"
"216",42073,"When the procession came opposite to Alice, they all stopped and looked
"
"217",12855,"to be done, I wonder?’ As she said this, she came suddenly upon an open
"
"218",45876,"‘Anything you like,’ said the Footman, and began whistling.
"
"219",63864,"‘I’ve tried the roots of trees, and I’ve tried banks, and I’ve tried
"
"220",19825,"looking for it, while the rest of the party went back to the game.
"
"221",43966,"‘Yes!’ shouted Alice.
"
"222",77085,"growing, and she was quite surprised to find that she remained the same
"
"223",15046,"a doze; but, on being pinched by the Hatter, it woke up again with
"
"224",55923,"all. I needn’t be afraid of them!’
"
"225",40590,"‘Swim after them!’ screamed the Gryphon.
"
"226",16328,"‘Mary Ann! Mary Ann!’ said the voice. ‘Fetch me my gloves this moment!’
"
"227",14973,"added the Gryphon; and then they both sat silent and looked at poor
"
"228",44736,"
"
"229",69615,"remained some time after the rest of it had gone.
"
"230",45435,"they walked off together.
"
"231",67292,"
"
"232",48320,"‘Perhaps it hasn’t one,’ Alice ventured to remark.
"
"233",88712,"
"
"234",61768,"
"
"235",98814,"hastily, for the White Rabbit cried out, ‘Silence in the court!’ and the
"
"236",37279,"
"
"237",59915,"listen, the whole place around her became alive with the strange creatures
"
"238",90434,"There was not a moment to be lost: away went Alice like the wind, and
"
"239",76632,"‘You couldn’t have wanted it much,’ said Alice; ‘living at the bottom of
"
"240",83356,"This was such a new idea to Alice, that she was quite silent for a
"
"241",32377,"
"
"242",10152,"hand again, and made another snatch in the air. This time there were
"
"243",79752,"‘Never!’ said the Queen furiously, throwing an inkstand at the Lizard
"
"244",32085,"without a cat! It’s the most curious thing I ever saw in my life!’
"
"245",25642,"‘Not a bit,’ said the Caterpillar.
"
"246",20946,"in the middle, being held up by two guinea-pigs, who were giving it
"
"247",42762,"trouble, you know, as we needn’t try to find any. And yet I don’t know,’
"
"248",40449,"which the wretched Hatter trembled so, that he shook both his shoes off.
"
"249",32449,"‘If you knew Time as well as I do,’ said the Hatter, ‘you wouldn’t talk
"
"250",58054,"him,) ‘I’ll give him sixpence. _I_ don’t believe there’s an atom of
"
"251",90034,"about in the wood, ‘is to grow to my right size again; and the second
"
"252",44821,"Still she went on growing, and, as a last resource, she put one arm out
"
"253",20540,"
"
"254",99187,"         CHORUS.
"
"255",43223,"by the time he had come back with the Duchess, it had entirely
"
"256",87874,"   As a duck with its eyelids, so he with his nose
"
"257",47473,"
"
"258",17454,"that “I see what I eat” is the same thing as “I eat what I see”!’
"
"259",92333,"business of MINE.’
"
"260",62292,"
"
"261",54682,"the pool, and the great hall, with the glass table and the little door,
"
"262",27950,"‘Oh, as to the whiting,’ said the Mock Turtle, ‘they--you’ve seen them,
"
"263",67262,"
"
"264",72639,"notice this last remark.
"
"265",41715,"‘How do you like the Queen?’ said the Cat in a low voice.
"
"266",85555,"‘Boots and shoes under the sea,’ the Gryphon went on in a deep voice,
"
"267",56906,"
"
"268",18893,"like a mouse, you know. But do cats eat bats, I wonder?’ And here Alice
"
"269",14849,"murder to leave it behind?’ She said the last words out loud, and the
"
"270",79701,"
"
"271",47148,"
"
"272",32211,"
"
"273",18573,"
"
"274",24991,"shouldn’t be hungry for it, you know.’
"
"275",85116,"‘I’m NOT a serpent!’ said Alice indignantly. ‘Let me alone!’
"
"276",24718,"CHAPTER XII. Alice’s Evidence
"
"277",98447,"“it” means.’
"
"278",51036,"fetch it here, lad!--Here, put ‘em up at this corner--No, tie ‘em
"
"279",81297,"but it said nothing.
"
"280",66308,"
"
"281",30629,"again, no wonder she felt unhappy.
"
"282",15609,"So she sat on, with closed eyes, and half believed herself in
"
"283",32304,"
"
"284",24541,"in the direction it pointed to, without trying to explain the mistake it
"
"285",88423,"sea, some children digging in the sand with wooden spades, then a row
"
"286",20247,"  *    *    *    *    *    *    *
"
"287",38867,"   Soo--oop of the e--e--evening,
"
"288",70588,"Alice opened the door and found that it led into a small passage, not
"
"289",77275,"
"
"290",40880,"
"
"291",65872,"
"
"292",59023,"They very soon came upon a Gryphon, lying fast asleep in the sun.
"
"293",81585,"
"
"294",14217,"it was in March.’ As she said this, she looked up, and there was the Cat
"
"295",35280,"
"
"296",93284,"tears.
"
"297",94814,"down the bottle, saying to herself ‘That’s quite enough--I hope I shan’t
"
"298",22705,"
"
"299",39954,"
"
"300",40764,"‘She boxed the Queen’s ears--’ the Rabbit began. Alice gave a little
"
"301",91530,"         ‘Fury said to a
"
"302",68953,"‘Swim after them!’ screamed the Gryphon.
"
"303",35528,"standing before them, in chains, with a soldier on each side to guard
"
"304",89851,"otherwise, judging by his face only, she would have called him a
"
"305",96882,"which the wretched Hatter trembled so, that he shook both his shoes off.
"
"306",28707,"Once more she found herself in the long hall, and close to the little
"
"307",89046,"things are “much of a muchness”--did you ever see such a thing as a
"
"308",71970,"do well enough; don’t be particular--Here, Bill! catch hold of this
"
"309",90431,"
"
"310",17266,"well.
"
"311",46642,"deep and reaching half down the hall.
"
"312",72695,"    nothing
"
"313",18188,"occasional exclamation of ‘Hjckrrh!’ from the Gryphon, and the constant
"
"314",43782,"perhaps after all it might tell her something worth hearing. For some
"
"315",44803,"The Queen’s argument was, that if something wasn’t done about it in less
"
"316",38813,"Rabbit returning, splendidly dressed, with a pair of white kid gloves in
"
"317",90959,"So Alice began telling them her adventures from the time when she first
"
"318",52524,"sat down and cried.
"
"319",58215,"
"
"320",39321,"
"
"321",75447,"about the whiting!’
"
"322",73091,"or two, it was as much as she could do to hold it.
"
"323",32320,"She ate a little bit, and said anxiously to herself, ‘Which way? Which
"
"324",78356,"‘What trial is it?’ Alice panted as she ran; but the Gryphon only
"
"325",48755,"       law: I will
"
"326",51623,"her knowledge of history, Alice had no very clear notion how long ago
"
"327",41188,"telescope.’
"
"328",60998,"name like an honest man.’
"
"329",38050,"
"
"330",11759,"
"
"331",38409,"and Alice looked round, eager to see the Queen.
"
"332",57837,"‘Please would you tell me,’ said Alice, a little timidly, for she was
"
"333",26973,"   Soo--oop of the e--e--evening,
"
"334",41877,"
"
"335",27354,"
"
"336",82390,"the patriotic archbishop of Canterbury, found it advisable--“’
"
"337",21478,"‘I’ll tell it her,’ said the Mock Turtle in a deep, hollow tone: ‘sit
"
"338",98142,"‘Come on!’ cried the Gryphon, and, taking Alice by the hand, it hurried
"
"339",48066,"
"
"340",26782,"half to itself, half to Alice.
"
"341",97727,"Alice started to her feet, for it flashed across her mind that she had
"
"342",38937,"She was a good deal frightened by this very sudden change, but she felt
"
"343",65137,"grow shorter.’
"
"344",73668,"had made.
"
"345",45438,"made up my mind about it; if I’m Mabel, I’ll stay down here! It’ll be no
"
"346",23289,"fish)--and rapped loudly at the door with his knuckles. It was opened
"
"347",84180,"‘any shrimp could have told you that.’
"
"348",38444,"    ‘I kept all my limbs very supple
"
"349",31119,"serpents! There’s no pleasing them!’
"
"350",37118,"   Soup of the evening, beautiful Soup!
"
"351",40829,"in the world she was to get out again.
"
"352",52081,"to do next, when suddenly a footman in livery came running out of the
"
"353",88987,"
"
"354",72087,"home! Why, I wouldn’t say anything about it, even if I fell off the top
"
"355",80624,"
"
"356",18583,"
"
"357",80737,"
"
"358",25834,"that dark hall, and wander about among those beds of bright flowers and
"
"359",90514,"
"
"360",63902,"There was a table set out under a tree in front of the house, and the
"
"361",25763,"Alice took up the fan and gloves, and, as the hall was very hot, she
"
"362",65073,"
"
"363",30287,"
"
"364",99670,"Just then she heard something splashing about in the pool a little way
"
"365",35262,"
"
"366",25518,"before,’ said Alice,) and round the neck of the bottle was a paper
"
"367",57074,"The Gryphon sat up and rubbed its eyes: then it watched the Queen till
"
"368",75059,"head!’ Those whom she sentenced were taken into custody by the soldiers,
"
"369",61198,"they lived at the bottom of a well--’
"
"370",85817,"dry enough!’ They all sat down at once, in a large ring, with the Mouse
"
"371",95289,"‘What do you know about this business?’ the King said to Alice.
"
"372",21407,"
"
"373",88749,"
"
"374",71259,"CAN have happened to me! When I used to read fairy-tales, I fancied that
"
"375",93824,"began picking them up again as quickly as she could, for the accident of
"
"376",40920,"    I beat him when he sneezes;
"
"377",86979," See how eagerly the lobsters and the turtles all advance!
"
"378",71717,"
"
"379",10531,"yours.”’
"
"380",71809,"“it” means.’
"
"381",30919,"
"
"382",21345,"said the Duchess, as she tucked her arm affectionately into Alice’s, and
"
"383",61308,"Alice did not at all like the tone of this remark, and thought it would
"
"384",85700,"a deal too flustered to tell you--all I know is, something comes at me
"
"385",60774,"and waited.
"
"386",19085,"be growing small again.’ She got up and went to the table to measure
"
"387",27412,"
"
"388",97225,"So she called softly after it, ‘Mouse dear! Do come back again, and we
"
"389",48818,"
"
"390",60750,"
"
"391",65185,"and sadly:--
"
"392",98587,"YOUR temper!’ ‘Hold your tongue, Ma!’ said the young Crab, a little
"
"393",22245,"advantage from the change: and Alice was a good deal worse off than
"
"394",39919,"‘Nothing whatever,’ said Alice.
"
"395",46966,"
"
"396",89818,"Alice laughed so much at this, that she had to run back into the
"
"397",23763,"you can find it.’ And she squeezed herself up closer to Alice’s side as
"
"398",66437,"began. Alice thought she had never seen such a curious croquet-ground in
"
"399",18330,"shouting ‘Off with his head!’ or ‘Off with her head!’ about once in a
"
"400",51457,"in the middle. Alice kept her eyes anxiously fixed on it, for she felt
"
"401",77054,"down on one knee. ‘I’m a poor man, your Majesty,’ he began.
"
"402",78564,"
"
"403",73165,"felt quite strange at first; but she got used to it in a few minutes,
"
"404",59438,"
"
"405",46708,"
"
"406",89561,"
"
"407",96094,"The Queen’s argument was, that if something wasn’t done about it in less
"
"408",27366,"doesn’t like changing so often, you know.’
"
"409",57352,"    Exactly as we were.
"
"410",98662,"moment Five, who had been anxiously looking across the garden, called
"
"411",52940," Will you, won’t you, will you, won’t you, won’t you join the dance?”’
"
"412",13945,"‘Well, I never heard it before,’ said the Mock Turtle; ‘but it sounds
"
"413",10224,"saying to herself ‘This is Bill,’ she gave one sharp kick, and waited to
"
"414",99743,"
"
"415",99259,"
"
"416",48307,"
"
"417",74072,"‘Not at first, perhaps,’ said the Hatter: ‘but you could keep it to
"
"418",88291,"
"
"419",71038,"  And will talk in contemptuous tones of the Shark,
"
"420",27871,"
"
"421",88350,"‘It proves nothing of the sort!’ said Alice. ‘Why, you don’t even know
"
"422",98708,"
"
"423",25426,"and added with a kind of sob, ‘I’ve tried every way, and nothing seems
"
"424",92835,"generally a ridge or furrow in the way wherever she wanted to send the
"
"425",49242,"   Soo--oop of the e--e--evening,
"
"426",99340,"tittered audibly.
"
"427",80180,"into the garden at once; but, alas for poor Alice! when she got to the
"
"428",58076,"wish I’d gone to see the Hatter instead!’
"
"429",88031,"
"
"430",80191,"        prosecute
"
"431",11917,"
"
"432",32024,"‘They’re putting down their names,’ the Gryphon whispered in reply, ‘for
"
"433",57470,"
"
"434",64613,"    Involved in this affair,
"
"435",37639,"way?’, holding her hand on the top of her head to feel which way it was
"
"436",43593,"cucumber-frames there must be!’ thought Alice. ‘I wonder what they’ll do
"
"437",79663,"‘I can’t go no lower,’ said the Hatter: ‘I’m on the floor, as it is.’
"
"438",30484,"    Between yourself and me.’
"
"439",69050,"
"
"440",96905,"It was all very well to say ‘Drink me,’ but the wise little Alice was
"
"441",92293,"faces, and the pattern on their backs was the same as the rest of the
"
"442",14792,"‘I do,’ Alice hastily replied; ‘at least--at least I mean what I
"
"443",16420,"make THEIR eyes bright and eager with many a strange tale, perhaps even
"
"444",61483,"heavy sobs.
"
"445",92041,"was trying to fix on one, the cook took the cauldron of soup off the
"
"446",78196,"The Hatter opened his eyes very wide on hearing this; but all he SAID
"
"447",71284,"Distraction, Uglification, and Derision.’
"
"448",83003,"An enormous puppy was looking down at her with large round eyes, and
"
"449",51340,"can’t prove I did: there’s no name signed at the end.’
"
"450",41131,"There was nothing so VERY remarkable in that; nor did Alice think it so
"
"451",90717,"fond of beheading people here; the great wonder is, that there’s any one
"
"452",80533,"ringlets, and mine doesn’t go in ringlets at all; and I’m sure I can’t
"
"453",36108,"
"
"454",23228,"hot day made her feel very sleepy and stupid), whether the pleasure
"
"455",81896,"the place of the March Hare. The Hatter was the only one who got any
"
"456",50026,"
"
"457",90469,"  While the Owl had the dish as its share of the treat.
"
"458",11561,"along the course, here and there. There was no ‘One, two, three, and
"
"459",95119,"So she sat on, with closed eyes, and half believed herself in
"
"460",52425,"‘and then,’ thought she, ‘what would become of me? They’re dreadfully
"
"461",86296,"
"
"462",44155,"
"
"463",90672,"
"
"464",80150,"Alice, she went on, ‘What’s your name, child?’
"
"465",56014,"
"
"466",91697,"‘Perhaps it hasn’t one,’ Alice ventured to remark.
"
"467",21350,"that the meeting adjourn, for the immediate adoption of more energetic
"
"468",97591,"days and days.’
"
"469",99355,"only been the right size to do it! Oh dear! I’d nearly forgotten that
"
"470",50851,"‘Well, I never heard it before,’ said the Mock Turtle; ‘but it sounds
"
"471",25990,"myself about you: you must manage the best way you can;--but I must be
"
"472",21255,"‘Don’t be impertinent,’ said the King, ‘and don’t look at me like that!’
"
"473",54054,"after that into a butterfly, I should think you’ll feel it a little
"
"474",17830,"‘What a pity it wouldn’t stay!’ sighed the Lory, as soon as it was quite
"
"475",87694,"animals and birds waiting outside. The poor little Lizard, Bill, was
"
"476",60336,"‘HE might bite,’ Alice cautiously replied, not feeling at all anxious to
"
"477",33528,"Lastly, she pictured to herself how this same little sister of hers
"
"478",90867,"
"
"479",96068,"leading right into it. ‘That’s very curious!’ she thought. ‘But
"
"480",93806,"flower-pot that stood near. The three soldiers wandered about for a
"
"481",48957,"
"
"482",98678,"
"
"483",61343,"drunk quite so much!’
"
"484",20665,"
"
"485",68056,"‘Oh, you’re sure to do that,’ said the Cat, ‘if you only walk long
"
"486",99487,"on, as she heard the Queen’s voice in the distance, screaming with
"
"487",96886,"‘Come on, then!’ roared the Queen, and Alice joined the procession,
"
"488",84800,"to himself in an undertone,
"
"489",50809,"
"
"490",71120,"
"
"491",28863,"and crept a little way out of the wood to listen.
"
"492",81856,"she remembered having seen in her brother’s Latin Grammar, ‘A mouse--of
"
"493",99159,"‘It’s the first position in dancing.’ Alice said; but was dreadfully
"
"494",98780,"this bottle does. I do hope it’ll make me grow large again, for really
"
"495",24755,"down! Heads below!’ (a loud crash)--‘Now, who did that?--It was Bill, I
"
"496",13064,"This time Alice waited patiently until it chose to speak again. In
"
"497",22665,"
"
"498",38979,"slate with one finger, as he found it made no mark; but he now hastily
"
"499",17142,"
"
"500",65413,"
"
"501",20967,"it ran away when it saw mine coming!’
"
"502",29596,"Some of the jury wrote it down ‘important,’ and some ‘unimportant.’
"
"503",69112,"one corner of it: ‘No room! No room!’ they cried out when they saw Alice
"
"504",97964,"the back. At last the Mock Turtle recovered his voice, and, with tears
"
"505",21246,"‘are done with a whiting. Now you know.’
"
"506",28870,"
"
"507",70478,"dry enough!’ They all sat down at once, in a large ring, with the Mouse
"
"508",79049,"very queer indeed:--
"
"509",34494,"Alice opened the door and found that it led into a small passage, not
"
"510",97041,"
"
"511",73570,"all its feet at once, with a yelp of delight, and rushed at the stick,
"
"512",51757,"a kind of serpent, that’s all I can say.’
"
"513",27190,"the moral of that is--“The more there is of mine, the less there is of
"
"514",30555,"           you
"
"515",88895,"‘You are not attending!’ said the Mouse to Alice severely. ‘What are you
"
"516",42653,"won’t, then!--Bill’s to go down--Here, Bill! the master says you’re to
"
"517",60100,"Alice had been all the way down one side and up the other, trying every
"
"518",60316,"could.
"
"519",53189,"        a trial,
"
"520",56391,"
"
"521",12161,"
"
"522",67435,"
"
"523",27375,"she looked up, but it was all dark overhead; before her was another
"
"524",57431,"cucumber-frame, or something of the sort.
"
"525",42775,"‘Write that down,’ the King said to the jury, and the jury eagerly
"
"526",43176,"a little shriek, and went on: ‘--that begins with an M, such as
"
"527",15440,"
"
"528",17157,"        “I’ll be
"
"529",22985,"to on the English coast you find a number of bathing machines in the
"
"530",44683,"
"
"531",71534,"
"
"532",41743,"sea of green leaves that lay far below her.
"
"533",56056,"to ask.
"
"534",56531,"sat down and cried.
"
"535",24142,"pack, she could not tell whether they were gardeners, or soldiers, or
"
"536",70130,"its tongue hanging out of its mouth, and its great eyes half shut.
"
"537",92326,"
"
"538",12344,"   Game, or any other dish?
"
"539",54257,"Just as she said this, she noticed that one of the trees had a door
"
"540",22650,"
"
"541",70477,"than no time she’d have everybody executed, all round. (It was this last
"
"542",70143,"tone. ‘Nobody seems to like her, down here, and I’m sure she’s the best
"
"543",60675,"the m--’
"
"544",18436,"
"
"545",29520,"‘Hush! Hush!’ said the Rabbit in a low, hurried tone. He looked
"
"546",97370,"
"
"547",65666,"contempt. ‘I’ve seen a good many little girls in my time, but never ONE
"
"548",92205,"then the Rabbit’s voice along--‘Catch him, you by the hedge!’ then
"
"549",95936,"their mouths--and they’re all over crumbs.’
"
"550",80605,"‘I beg your pardon!’ said the Mouse, frowning, but very politely: ‘Did
"
"551",59459,"       ‘Wow! wow! wow!’
"
"552",36522,"thought Alice; ‘I might as well be at school at once.’ However, she
"
"553",56897,"next! As for pulling me out of the window, I only wish they COULD! I’m
"
"554",73933,"or Longitude I’ve got to?’ (Alice had no idea what Latitude was, or
"
"555",86842,"
"
"556",21623,"
"
"557",61047,"
"
"558",52288,"for apples, yer honour!’
"
"559",25957,"
"
"560",66108,"it to make it stop.
"
"561",47026,"
"
"562",30258,"
"
